Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,HUL,Renault,12,9,92.949,92.115,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,LEC,Sauber,8,10,92.538,92.055,92.635
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,GRO,Haas F1 Team,10,11,92.083,91.472,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,VAN,McLaren,17,12,93.162,1000,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,ERI,Sauber,15,13,92.804,92.82,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,HAR,Toro Rosso,20,14,93.025,1000,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,SIR,Williams,18,15,93.636,1000,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,ALO,McLaren,16,16,92.976,1000,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,STR,Williams,19,17,93.729,1000,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,PER,Force India,13,18,92.692,92.454,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,OCO,Force India,11,19,92.786,92.075,1000
2018,8,High-Circuit,Le Castellet,24.546078431372557,0,GAS,Toro Rosso,14,20,92.447,92.46,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,VER,Red Bull Racing,4,1,64.273,64.001,63.84
2018,9,High-Circuit,Spielberg,23.176086956521743,0,RAI,Ferrari,3,2,64.234,63.975,63.66
2018,9,High-Circuit,Spielberg,23.176086956521743,0,VET,Ferrari,6,3,64.347,63.544,63.464
2018,9,High-Circuit,Spielberg,23.176086956521743,0,GRO,Haas F1 Team,5,4,64.242,64.059,63.892
2018,9,High-Circuit,Spielberg,23.176086956521743,0,MAG,Haas F1 Team,8,5,64.46,64.291,64.051
2018,9,High-Circuit,Spielberg,23.176086956521743,0,OCO,Force India,11,6,65.148,64.845,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,PER,Force India,16,7,65.279,1000,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,ALO,McLaren,13,8,64.965,65.05799999999999,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,LEC,Sauber,18,9,64.967,64.979,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,ERI,Sauber,20,10,65.479,1000,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,GAS,Toro Rosso,12,11,65.011,64.874,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,SAI,Renault,9,12,64.94800000000001,64.561,64.725
2018,9,High-Circuit,Spielberg,23.176086956521743,0,SIR,Williams,17,13,65.322,1000,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,STR,Williams,14,14,65.264,65.286,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,VAN,McLaren,15,15,65.271,1000,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,HAM,Mercedes,2,16,64.08,63.577,63.149
2018,9,High-Circuit,Spielberg,23.176086956521743,0,HAR,Toro Rosso,19,17,65.366,1000,1000
2018,9,High-Circuit,Spielberg,23.176086956521743,0,RIC,Red Bull Racing,7,18,64.723,64.403,63.996
2018,9,High-Circuit,Spielberg,23.176086956521743,0,BOT,Mercedes,1,19,64.175,63.756,63.13
2018,9,High-Circuit,Spielberg,23.176086956521743,0,HUL,Renault,10,20,64.864,64.676,65.019
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,VET,Ferrari,2,1,86.58500000000001,86.372,85.936
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,HAM,Mercedes,1,2,86.818,86.256,85.892
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,RAI,Ferrari,3,3,87.549,86.483,85.99
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,BOT,Mercedes,4,4,87.025,86.413,86.217
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,RIC,Red Bull Racing,6,5,87.979,87.369,87.099
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,HUL,Renault,11,6,88.017,87.901,1000
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,OCO,Force India,10,7,88.279,87.843,88.194
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,ALO,McLaren,13,8,88.187,88.139,1000
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,MAG,Haas F1 Team,7,9,88.143,87.73,87.244
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,PER,Force India,12,10,88.21000000000001,87.928,1000
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,VAN,McLaren,17,11,89.096,1000,1000
2018,10,Mid-Circuit,Silverstone,27.43163265306122,0,STR,Williams,19,12,1000,1000,1000
